phrase,target
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) ,positive
Finnish Bank of +ï¿½land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 ,positive
 they added ,positive
 soaring base metal prices and proceeds from the sale of its technology unit ,positive
Nordea sees a return to positive growth for the Baltic countries in 2011 ,positive
Cision says the sale will return its U.K. operation to profitability ,positive
 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market ,positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant ,positive
 `` it 's double the size of our current shop and has a lovely feel to it . ',positive
 up from EUR 0.3 mn loss in 2008 ,positive
 the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ,positive
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs ,positive
 the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker ,positive
259.7 million ,positive
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn ,positive
Satama 's net sales would be higher than the year before ,positive
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel ,positive
 said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year ,positive
The Group also has a strong global position in other fishing categories ,positive
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India ,positive
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier ,positive
The company is well positioned in Brazil and Uruguay ,positive
 won the five-year deal which involves low maintenance and fuel saving technologies ,positive
 up 23 % from EUR 113.8 mn ,positive
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components ,positive
Finnish construction group Lemmink+ï¿½inen has been awarded two road building contracts by the Lithuanian transport administration ,positive
 as compared to the corresponding period a year ago ,positive
 Wysockiego and Zgody ,positive
000 from EUR 7.4 million for the corresponding period of 2009 ,positive
 compared to EUR 15.6 mn a year earlier ,positive
 compared with 0.90 eur a year ago ,positive
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier ,positive
 up from EUR 730mn in 2004 ,positive
Finnish-Swedish TietoEnator is expanding its business quickly in Russia ,positive
 Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ,positive
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 ,positive
 Raute expects its net sales to increase and the operating result -- to be positive ,positive
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 ,positive
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+ï¿½rbindelsen bridge in Gothenburg in Sweden ,positive
 up from EUR 7.5 mn ,positive
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 ,positive
 the Finnish national carrier reported Tuesday ,positive
 and that it increased average paper prices by 4 percent compared with last year ,positive
 compared with 240.4 mln eur a year earlier ,positive
 and operations speeded up ,positive
 as compared to the corresponding period a year ago ,positive
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 ,positive
